Id,Sentiment
0,5
1,2
2,5
3,5
4,5
5,1
6,2
7,1
8,2
9,3
10,2
11,4
12,4
13,4
14,4
15,5
16,5
17,1
18,3
19,3
20,5
21,4
22,5
23,4
24,5
25,3
26,4
27,5
28,4
29,5
30,5
31,1
32,5
33,5
34,5
35,4
36,5
37,2
38,2
39,5
40,4
41,5
42,3
43,5
44,4
45,5
46,5
47,3
48,4
49,5
50,5
51,2
52,3
53,5
54,4
55,1
56,1
57,5
58,4
59,4
60,2
61,5
62,2
63,2
64,4
65,4
66,4
67,4
68,4
69,3
70,5
71,3
72,1
73,1
74,2
75,1
76,3
77,4
78,5
79,1
80,5
81,5
82,4
83,4
84,1
85,2
86,4
87,4
88,4
89,2
90,5
91,4
92,3
93,3
94,3
95,2
96,4
97,1
98,5
99,4
100,2
101,4
102,4
103,4
104,5
105,5
106,4
107,4
108,5
109,1
110,3
111,4
112,5
113,5
114,2
115,5
116,2
117,4
118,4
119,5
120,4
121,5
122,3
123,1
124,4
125,2
126,1
127,5
128,4
129,5
130,4
131,4
132,2
133,5
134,5
135,5
136,4
137,4
138,5
139,3
140,4
141,1
142,2
143,4
144,5
145,5
146,2
147,1
148,4
149,1
150,5
151,1
152,5
153,3
154,1
155,1
156,3
157,5
158,4
159,3
160,1
161,5
162,4
163,4
164,4
165,3
166,4
167,3
168,5
169,4
170,4
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,3
180,3
181,3
182,4
183,1
184,1
185,1
186,4
187,4
188,4
189,5
190,3
191,4
192,5
193,4
194,4
195,2
196,3
197,4
198,4
199,4
200,4
201,4
202,5
203,4
204,4
205,4
206,2
207,4
208,1
209,3
210,5
211,4
212,5
213,4
214,4
215,3
216,4
217,4
218,5
219,4
220,5
221,5
222,4
223,4
224,3
225,4
226,1
227,3
228,2
229,3
230,4
231,3
232,4
233,4
234,4
235,5
236,5
237,5
238,4
239,4
240,5
241,5
242,4
243,5
244,5
245,4
246,2
247,5
248,5
249,4
250,4
251,3
252,4
253,1
254,5
255,3
256,4
257,4
258,3
259,4
260,5
261,3
262,1
263,4
264,5
265,5
266,3
267,4
268,4
269,5
270,4
271,2
272,4
273,2
274,2
275,5
276,3
277,3
278,2
279,5
280,5
281,3
282,3
283,5
284,4
285,4
286,5
287,3
288,5
289,4
290,4
291,4
292,5
293,3
294,5
295,2
296,4
297,5
298,5
299,5
300,5
301,3
302,4
303,4
304,3
305,2
306,5
307,3
308,5
309,5
310,4
311,1
312,5
313,5
314,1
315,4
316,2
317,3
318,1
319,4
320,5
321,4
322,5
323,5
324,4
325,1
326,4
327,4
328,1
329,2
330,4
331,5
332,1
333,5
334,1
335,5
336,5
337,4
338,4
339,5
340,2
341,5
342,2
343,5
344,4
345,2
346,3
347,2
348,1
349,4
350,4
351,5
352,4
353,1
354,5
355,4
356,5
357,1
358,1
359,4
360,2
361,5
362,4
363,5
364,2
365,3
366,4
367,4
368,3
369,4
370,5
371,5
372,4
373,1
374,4
375,5
376,4
377,2
378,5
379,5
380,4
381,4
382,2
383,5
384,4
385,4
386,4
387,5
388,5
389,5
390,4
391,2
392,5
393,4
394,4
395,4
396,4
397,1
398,5
399,3
400,2
401,2
402,2
403,2
404,4
405,4
406,5
407,4
408,5
409,4
410,4
411,2
412,3
413,4
414,3
415,4
416,4
417,4
418,4
419,2
420,4
421,4
422,4
423,4
424,5
425,4
426,5
427,4
428,2
429,5
430,5
431,3
432,5
433,5
434,5
435,4
436,5
437,5
438,5
439,5
440,2
441,5
442,5
443,5
444,4
445,5
446,5
447,5
448,2
449,4
450,4
451,2
452,5
453,1
454,4
455,1
456,3
457,4
458,4
459,4
460,4
461,4
462,2
463,5
464,5
465,1
466,3
467,5
468,5
469,3
470,4
471,3
472,4
473,5
474,4
475,5
476,5
477,3
478,3
479,3
480,1
481,4
482,5
483,4
484,4
485,4
486,2
487,5
488,5
489,3
490,4
491,4
492,1
493,4
494,4
495,5
496,5
497,2
498,3
499,5
500,3
501,4
502,4
503,3
504,1
505,1
506,5
507,4
508,4
509,4
510,4
511,5
512,2
